"","year","strata","m","n","u","yoym","yoyn","yoyu","days","effort","strata_start","strata_end"
"61",2012,21,7,327,2794,0,0,0,10,10,"07-11","07-20"
"62",2012,22,13,601,2778,0,0,0,10,10,"07-21","07-30"
"63",2012,23,0,46,86,0,0,0,10,1,"07-31","08-09"
"64",2012,24,0,0,NA,0,0,NA,10,0,"08-10","08-19"
"65",2012,25,5,135,455,0,0,0,12,10,"08-20","08-31"
"66",2012,26,9,275,463,0,0,0,10,10,"09-01","09-10"
"67",2012,27,14,597,685,0,0,0,10,9.5,"09-11","09-20"
"68",2012,28,11,565,698,0,0,0,10,10,"09-21","09-30"
"69",2012,29,7,293,412,0,0,0,10,9.5,"10-01","10-10"
"70",2012,30,14,420,686,0,0,0,10,10,"10-11","10-20"
"71",2012,31,5,197,190,0,0,0,10,8.5,"10-21","10-30"
"72",2012,32,0,70,74,0,0,0,10,4,"10-31","11-09"
"73",2013,9,0,2,2,0,0,0,10,1,"03-13","03-22"
"74",2013,10,1,62,102,0,0,6,10,8.5,"03-23","04-01"
"75",2013,11,14,235,210,0,0,3,10,9.5,"04-02","04-11"
"76",2013,12,2,67,56,0,0,16,10,8,"04-12","04-21"
"77",2013,13,1,53,59,0,3,3,10,8.5,"04-22","05-01"
"78",2013,14,3,68,65,0,0,5,10,9.5,"05-02","05-11"
"79",2013,15,1,15,12,0,0,0,10,4,"05-12","05-21"
"80",2013,16,5,47,53,0,6,89,10,10,"05-22","05-31"
"81",2013,17,8,63,59,0,26,257,10,10,"06-01","06-10"
"82",2013,18,3,20,19,1,23,643,10,10,"06-11","06-20"
"83",2013,19,1,8,8,2,38,710,10,10,"06-21","06-30"
"84",2013,20,37,576,3814,0,0,0,10,10,"07-01","07-10"
"85",2013,21,46,644,2996,0,0,0,10,10,"07-11","07-20"
"86",2013,22,22,356,1497,0,0,0,10,10,"07-21","07-30"
"87",2013,23,25,391,1041,0,0,0,10,10,"07-31","08-09"
"88",2013,24,16,356,767,0,0,0,10,10,"08-10","08-19"
"89",2013,25,24,453,687,0,0,0,12,12,"08-20","08-31"
"90",2013,26,45,580,1850,0,0,0,10,10,"09-01","09-10"
"91",2013,27,20,551,1546,0,0,0,10,10,"09-11","09-20"
"92",2013,28,36,457,2272,0,0,0,10,9,"09-21","09-30"
"93",2013,29,49,359,1072,0,0,0,10,8,"10-01","10-10"
"94",2013,30,20,207,255,0,0,0,10,10,"10-11","10-20"
"95",2013,31,43,454,416,0,0,0,10,10,"10-21","10-30"
"96",2013,32,8,68,51,0,0,0,10,2,"10-31","11-09"
"97",2014,9,0,0,7,0,0,0,10,0.5,"03-13","03-22"
"98",2014,10,7,98,94,0,0,4,10,7,"03-23","04-01"
"99",2014,11,20,123,154,0,0,11,10,9,"04-02","04-11"
"100",2014,12,23,254,237,0,0,40,10,10,"04-12","04-21"
"101",2014,13,26,186,178,0,0,67,10,10,"04-22","05-01"
"102",2014,14,2,29,21,0,0,61,10,9.5,"05-02","05-11"
"103",2014,15,0,12,13,0,0,12,10,7,"05-12","05-21"
"104",2014,16,0,1,1,0,0,63,10,9,"05-22","05-31"
"105",2014,17,2,17,23,0,0,146,10,10,"06-01","06-10"
"106",2014,18,5,40,35,0,0,691,10,9.5,"06-11","06-20"
"107",2014,19,1,17,17,0,0,368,10,10,"06-21","06-30"
"108",2014,20,8,221,612,0,0,0,10,10,"07-01","07-10"
"109",2014,21,12,530,1407,0,0,0,10,10,"07-11","07-20"
"110",2014,22,64,915,2515,0,0,0,10,10,"07-21","07-30"
"111",2014,23,71,849,1780,0,0,0,10,10,"07-31","08-09"
"112",2014,24,65,670,904,0,0,0,10,7.5,"08-10","08-19"
"113",2014,25,31,574,850,0,0,0,12,12,"08-20","08-31"
"114",2014,26,2,96,164,0,0,0,10,10,"09-01","09-10"
"115",2014,27,7,143,451,0,0,0,10,10,"09-11","09-20"
"116",2014,28,23,167,1218,0,0,0,10,10,"09-21","09-30"
"117",2014,29,19,162,863,0,0,0,10,10,"10-01","10-10"
"118",2014,30,13,151,429,0,0,0,10,10,"10-11","10-20"
"119",2014,31,8,128,599,0,0,0,10,10,"10-21","10-30"
"120",2014,32,0,9,10,0,0,0,10,1,"10-31","11-09"
"121",2015,9,4,17,27,0,0,0,10,2,"03-13","03-22"
"122",2015,10,15,90,94,0,0,28,10,10,"03-23","04-01"
"123",2015,11,5,45,36,0,0,29,10,9,"04-02","04-11"
"124",2015,12,12,67,77,0,0,170,10,10,"04-12","04-21"
"125",2015,13,4,40,31,0,0,26,10,9.5,"04-22","05-01"
"126",2015,14,1,19,13,0,0,302,10,10,"05-02","05-11"
"127",2015,15,2,14,14,0,0,446,10,10,"05-12","05-21"
"128",2015,16,1,19,20,0,0,745,10,10,"05-22","05-31"
"129",2015,17,5,16,15,0,0,1349,10,10,"06-01","06-10"
"130",2015,18,0,0,0,0,0,1068,10,8,"06-11","06-20"
"131",2015,19,0,0,0,0,0,3994,10,10,"06-21","06-30"
"132",2015,20,14,182,11950,0,0,0,10,10,"07-01","07-10"
"133",2015,21,12,189,3052,0,0,0,10,10,"07-11","07-20"
"134",2015,22,27,200,3950,0,0,0,10,10,"07-21","07-30"
"135",2015,23,10,200,2445,0,0,0,10,9.5,"07-31","08-09"
"136",2015,24,40,201,2446,0,0,0,10,10,"08-10","08-19"
"137",2015,25,35,219,1857,0,0,0,12,11,"08-20","08-31"
"138",2015,26,42,199,6524,0,0,0,10,10,"09-01","09-10"
"139",2015,27,16,187,8418,0,0,0,10,10,"09-11","09-20"
"140",2015,28,29,200,1221,0,0,0,10,10,"09-21","09-30"
"141",2015,29,25,296,503,0,0,0,10,10,"10-01","10-10"
"142",2015,30,28,330,625,0,0,0,10,10,"10-11","10-20"
"143",2015,31,33,326,421,0,0,0,10,10,"10-21","10-30"
"144",2015,32,3,121,606,0,0,0,10,3,"10-31","11-09"
"145",2016,9,0,0,NA,0,0,NA,10,0,"03-13","03-22"
"146",2016,10,1,9,11,1,14,96,10,9,"03-23","04-01"
"147",2016,11,3,61,65,1,78,231,10,10,"04-02","04-11"
"148",2016,12,12,157,152,0,50,335,10,9.5,"04-12","04-21"
"149",2016,13,0,0,0,0,0,0,10,0.5,"04-22","05-01"
"150",2016,14,0,0,NA,0,0,NA,10,0,"05-02","05-11"
"151",2016,15,0,0,NA,0,0,NA,10,0,"05-12","05-21"
"152",2016,16,0,0,NA,0,0,NA,10,0,"05-22","05-31"
"153",2016,17,0,0,NA,0,0,NA,10,0,"06-01","06-10"
"154",2016,18,0,0,NA,0,0,NA,10,0,"06-11","06-20"
"155",2016,19,0,0,NA,0,0,NA,10,0,"06-21","06-30"
"156",2016,20,8,299,4602,0,0,0,10,4,"07-01","07-10"
"157",2016,21,68,724,2132,0,0,0,10,10,"07-11","07-20"
"158",2016,22,15,553,2167,0,0,0,10,6,"07-21","07-30"
"159",2016,23,36,607,1675,0,0,0,10,9,"07-31","08-09"
"160",2016,24,39,699,941,0,0,0,10,10,"08-10","08-19"
"161",2016,25,47,1008,1240,0,0,0,12,12,"08-20","08-31"
"162",2016,26,30,499,546,0,0,0,10,10,"09-01","09-10"
"163",2016,27,31,580,640,0,0,0,10,10,"09-11","09-20"
"164",2016,28,23,547,510,0,0,0,10,10,"09-21","09-30"
"165",2016,29,16,336,332,0,0,0,10,10,"10-01","10-10"
"166",2016,30,45,707,856,0,0,0,10,10,"10-11","10-20"
"167",2016,31,8,99,99,0,0,0,10,9,"10-21","10-30"
"168",2016,32,0,0,NA,0,0,NA,10,0,"10-31","11-09"
"169",2017,9,0,0,NA,0,0,NA,10,0,"03-13","03-22"
"170",2017,10,0,20,27,0,0,9,10,8,"03-23","04-01"
"171",2017,11,2,24,17,0,0,7,10,9,"04-02","04-11"
"172",2017,12,3,26,30,33,70,99,10,9,"04-12","04-21"
"173",2017,13,6,54,53,11,44,141,10,10,"04-22","05-01"
"174",2017,14,1,3,1,0,0,1,10,1,"05-02","05-11"
"175",2017,15,0,0,NA,0,0,NA,10,0,"05-12","05-21"
"176",2017,16,0,0,NA,0,0,NA,10,0,"05-22","05-31"
"177",2017,17,0,0,NA,0,0,NA,10,0,"06-01","06-10"
"178",2017,18,0,0,NA,0,0,NA,10,0,"06-11","06-20"
"179",2017,19,0,0,0,0,0,269,10,2,"06-21","06-30"
"180",2017,20,18,401,1413,0,0,0,10,9,"07-01","07-10"
"181",2017,21,105,1545,5792,0,0,0,10,10,"07-11","07-20"
"182",2017,22,76,994,3276,0,0,0,10,10,"07-21","07-30"
"183",2017,23,37,701,1155,0,0,0,10,10,"07-31","08-09"
"184",2017,24,38,780,1070,0,0,0,10,9,"08-10","08-19"
"185",2017,25,15,303,385,0,0,0,12,12,"08-20","08-31"
"186",2017,26,8,229,237,0,0,0,10,10,"09-01","09-10"
"187",2017,27,60,878,2178,0,0,0,10,10,"09-11","09-20"
"188",2017,28,56,758,647,0,0,0,10,10,"09-21","09-30"
"189",2017,29,29,519,500,0,0,0,10,10,"10-01","10-10"
"190",2017,30,59,800,748,0,0,0,10,8.5,"10-11","10-20"
"191",2017,31,16,279,279,0,0,0,10,10,"10-21","10-30"
"192",2017,32,2,61,45,0,0,0,10,4,"10-31","11-09"
"193",2018,9,0,0,NA,0,0,NA,10,0,"03-13","03-22"
"194",2018,10,1,7,7,0,0,0,10,8,"03-23","04-01"
"195",2018,11,1,43,59,0,0,0,10,9,"04-02","04-11"
"196",2018,12,20,122,118,0,0,0,10,9.5,"04-12","04-21"
"197",2018,13,8,100,88,0,0,0,10,4,"04-22","05-01"
"198",2018,14,0,0,NA,0,0,NA,10,0,"05-02","05-11"
"199",2018,15,0,0,NA,0,0,NA,10,0,"05-12","05-21"
"200",2018,16,0,0,NA,0,0,NA,10,0,"05-22","05-31"
"201",2018,17,0,0,0,0,0,0,10,4,"06-01","06-10"
"202",2018,18,0,1,2,0,0,4,10,10,"06-11","06-20"
"203",2018,19,0,1,0,0,0,0,10,10,"06-21","06-30"
"204",2018,20,6,206,425,0,0,0,10,9.5,"07-01","07-10"
"205",2018,21,5,202,361,0,0,0,10,10,"07-11","07-20"
"206",2018,22,8,99,124,0,0,0,10,10,"07-21","07-30"
"207",2018,23,10,146,200,0,0,0,10,10,"07-31","08-09"
"208",2018,24,8,174,197,0,0,0,10,10,"08-10","08-19"
"209",2018,25,16,209,213,0,0,0,12,12,"08-20","08-31"
"210",2018,26,7,168,163,0,0,0,10,10,"09-01","09-10"
"211",2018,27,10,194,203,0,0,0,10,10,"09-11","09-20"
"212",2018,28,13,253,250,0,0,0,10,10,"09-21","09-30"
"213",2018,29,45,501,529,0,0,0,10,10,"10-01","10-10"
"214",2018,30,15,212,176,0,0,0,10,10,"10-11","10-20"
"215",2018,31,10,72,88,0,0,0,10,10,"10-21","10-30"
"216",2018,32,12,70,73,0,0,0,10,4,"10-31","11-09"
"217",2019,9,0,0,NA,0,0,NA,10,0,"03-13","03-22"
"218",2019,10,1,37,42,0,0,0,10,10,"03-23","04-01"
"219",2019,11,3,55,55,0,0,0,10,10,"04-02","04-11"
"220",2019,12,3,24,30,0,0,0,10,10,"04-12","04-21"
"221",2019,13,7,73,62,0,0,0,10,7,"04-22","05-01"
"222",2019,14,0,9,9,1,13,13,10,5.5,"05-02","05-11"
"223",2019,15,0,0,NA,0,0,NA,10,0,"05-12","05-21"
"224",2019,16,0,0,NA,0,0,NA,10,0,"05-22","05-31"
"225",2019,17,0,0,NA,0,0,NA,10,0,"06-01","06-10"
"226",2019,18,0,0,NA,0,0,NA,10,0,"06-11","06-20"
"227",2019,19,0,0,0,0,0,0,10,8,"06-21","06-30"
"228",2019,20,6,81,821,0,0,0,10,10,"07-01","07-10"
"229",2019,21,8,258,1087,0,0,0,10,10,"07-11","07-20"
"230",2019,22,8,178,730,0,0,0,10,8,"07-21","07-30"
"231",2019,23,12,204,531,0,0,0,10,9,"07-31","08-09"
"232",2019,24,15,293,453,0,0,0,10,10,"08-10","08-19"
"233",2019,25,37,563,704,0,0,0,12,12,"08-20","08-31"
"234",2019,26,25,364,431,0,0,0,10,10,"09-01","09-10"
"235",2019,27,14,272,254,0,0,0,10,10,"09-11","09-20"
"236",2019,28,23,404,498,0,0,0,10,10,"09-21","09-30"
"237",2019,29,34,500,431,0,0,0,10,9.5,"10-01","10-10"
"238",2019,30,43,459,506,0,0,0,10,9.5,"10-11","10-20"
"239",2019,31,88,696,642,0,0,0,10,7,"10-21","10-30"
"240",2019,32,0,0,NA,0,0,NA,10,0,"10-31","11-09"
"241",2020,9,0,0,NA,0,0,NA,10,0,"03-13","03-22"
"242",2020,10,0,6,6,0,0,0,10,8,"03-23","04-01"
"243",2020,11,1,19,24,0,0,0,10,10,"04-02","04-11"
"244",2020,12,1,40,45,0,0,0,10,10,"04-12","04-21"
"245",2020,13,8,109,99,0,0,0,10,9,"04-22","05-01"
"246",2020,14,0,0,NA,0,0,NA,10,0,"05-02","05-11"
"247",2020,15,0,0,NA,0,0,NA,10,0,"05-12","05-21"
"248",2020,16,0,0,NA,0,0,NA,10,0,"05-22","05-31"
"249",2020,17,0,0,NA,0,0,NA,10,0,"06-01","06-10"
"250",2020,18,0,1,1,0,0,17,10,1.5,"06-11","06-20"
"251",2020,19,0,0,0,0,17,0,10,10,"06-21","06-30"
"252",2020,20,1,15,55,0,0,0,10,10,"07-01","07-10"
"253",2020,21,4,72,161,0,0,0,10,10,"07-11","07-20"
"254",2020,22,7,140,327,0,0,0,10,10,"07-21","07-30"
"255",2020,23,0,34,65,0,0,0,10,10,"07-31","08-09"
"256",2020,24,9,191,250,0,0,0,10,10,"08-10","08-19"
"257",2020,25,13,129,127,0,0,0,12,12,"08-20","08-31"
"258",2020,26,12,201,274,0,0,0,10,10,"09-01","09-10"
"259",2020,27,5,141,107,0,0,0,10,7,"09-11","09-20"
"260",2020,28,39,442,427,0,0,0,10,10,"09-21","09-30"
"261",2020,29,10,184,213,0,0,0,10,9.5,"10-01","10-10"
"262",2020,30,31,544,508,0,0,0,10,9.5,"10-11","10-20"
"263",2020,31,2,48,48,0,0,0,10,7,"10-21","10-30"
"264",2020,32,0,7,9,0,0,0,10,1.5,"10-31","11-09"
"265",2021,9,0,2,2,0,0,0,10,2,"03-13","03-22"
"266",2021,10,0,5,5,0,0,0,10,9,"03-23","04-01"
"267",2021,11,1,36,39,0,0,0,10,9,"04-02","04-11"
"268",2021,12,2,34,33,0,0,0,10,10,"04-12","04-21"
"269",2021,13,1,25,23,0,0,0,10,9,"04-22","05-01"
"270",2021,14,0,0,NA,0,0,NA,10,0,"05-02","05-11"
"271",2021,15,0,0,0,0,0,0,10,1,"05-12","05-21"
"272",2021,16,0,9,11,2,23,151,10,7,"05-22","05-31"
"273",2021,17,2,17,17,28,205,77,10,10,"06-01","06-10"
"274",2021,18,0,0,0,0,0,0,10,10,"06-11","06-20"
"275",2021,19,0,1,1,0,0,0,10,10,"06-21","06-30"
"276",2021,20,2,74,1186,0,0,0,10,10,"07-01","07-10"
"277",2021,21,2,79,731,0,0,0,10,10,"07-11","07-20"
"278",2021,22,2,64,283,0,0,0,10,10,"07-21","07-30"
"279",2021,23,19,312,806,0,0,0,10,10,"07-31","08-09"
"280",2021,24,5,106,367,0,0,0,10,9,"08-10","08-19"
"281",2021,25,36,392,502,0,0,0,12,12,"08-20","08-31"
"282",2021,26,144,1069,1569,0,0,0,10,10,"09-01","09-10"
"283",2021,27,74,594,751,0,0,0,10,10,"09-11","09-20"
"284",2021,28,199,1725,3013,0,0,0,10,10,"09-21","09-30"
"285",2021,29,150,1110,1020,0,0,0,10,10,"10-01","10-10"
"286",2021,30,173,964,892,0,0,0,10,10,"10-11","10-20"
"287",2021,31,184,1009,1900,0,0,0,10,10,"10-21","10-30"
"288",2021,32,20,100,93,0,0,0,10,1,"10-31","11-09"
"289",2022,9,0,3,8,0,0,0,10,3,"03-13","03-22"
"290",2022,10,18,148,153,0,0,0,10,10,"03-23","04-01"
"291",2022,11,10,67,59,0,0,0,10,9.5,"04-02","04-11"
"292",2022,12,2,12,17,0,0,0,10,7.5,"04-12","04-21"
"293",2022,13,11,78,79,0,0,12,10,10,"04-22","05-01"
"294",2022,14,4,37,33,0,12,0,10,2,"05-02","05-11"
"295",2022,15,0,0,0,0,0,0,10,1,"05-12","05-21"
"296",2022,16,0,0,0,0,0,0,10,1,"05-22","05-31"
"297",2022,17,0,0,NA,0,0,NA,10,0,"06-01","06-10"
"298",2022,18,0,0,NA,0,0,NA,10,0,"06-11","06-20"
"299",2022,19,0,0,NA,0,0,NA,10,0,"06-21","06-30"
"300",2022,20,2,28,287,0,0,0,10,4,"07-01","07-10"
"301",2022,21,59,776,2466,0,0,0,10,10,"07-11","07-20"
"302",2022,22,36,652,1305,0,0,0,10,10,"07-21","07-30"
"303",2022,23,39,570,836,0,0,0,10,9,"07-31","08-09"
"304",2022,24,8,184,234,0,0,0,10,8,"08-10","08-19"
"305",2022,25,16,277,299,0,0,0,12,12,"08-20","08-31"
"306",2022,26,16,208,213,0,0,0,10,10,"09-01","09-10"
"307",2022,27,21,316,352,0,0,0,10,10,"09-11","09-20"
"308",2022,28,126,768,840,0,0,0,10,10,"09-21","09-30"
"309",2022,29,147,781,750,0,0,0,10,10,"10-01","10-10"
"310",2022,30,198,912,874,0,0,0,10,10,"10-11","10-20"
"311",2022,31,131,662,681,0,0,0,10,6.5,"10-21","10-30"
"312",2022,32,0,0,NA,0,0,NA,10,0,"10-31","11-09"
