"","SessionName","Trap","StartDate","Operation","Speed","SillDepth","DepthUnits","TagTemp","SessionNote"
"39","DAV10227.MC2","MARTR2",2010-08-15 09:07:00,"1.0",6,2.7,NA,7,NA
"40","DAV10228.MC2","MARTR2",2010-08-16 08:54:00,"1.0",6,2.7,NA,8,NA
"41","DAV10229.MC2","MARTR2",2010-08-17 09:18:00,"1.0",6,2.6,NA,8,NA
"42","DAV10230.MC2","MARTR2",2010-08-18 09:11:00,"1.0",6,2.5,NA,8,NA
"43","DAV10231.MC2","MARTR2",2010-08-19 08:07:00,"1.0",6,2.5,NA,8,"pulled trap because of forest fire moving to trap"
"44","DAV10232.MC2","MARTR2",2010-08-20 09:26:00,"1.0",6,2.5,NA,7,NA
"45","DAV10233.MC2","MARTR2",2010-08-21 09:11:00,"1.0",6,2.5,NA,8,"trap parked due to forest fire moving into trapping area"
"46","DAV10234.MC2","MARTR2",2010-08-22 21:13:00,"0.0",0,NA,NA,0,"not fishing due to fire"
"47","DAV10235.MC2","MARTR2",2010-08-23 23:09:00,"0.0",0,NA,NA,0,"not fishing due to forest fire"
"48","DAV10237.MC2","MARTR2",2010-08-25 13:53:00,"0.0",0,NA,NA,0,NA
"49","DAV10238.MC2","MARTR2",2010-08-26 15:27:00,"0.0",0,NA,NA,0,"not fishing due to forest fire"
"50","DAV10239.MC2","MARTR2",2010-08-27 15:31:00,"0.0",0,NA,NA,0,"not fishing due to forest fire"
"51","DAV10240.MC2","MARTR2",2010-08-28 15:32:00,"0.0",0,NA,NA,0,"not fishing due to forest fire"
"52","DAV10241.MC2","MARTR2",2010-08-29 15:32:00,"0.0",0,NA,NA,0,"not fishing due to forest fire"
"53","DAV10242.MC2","MARTR2",2010-08-30 15:33:00,"0.0",0,NA,NA,0,"not fishing due to forest fire"
"54","DAV10243.MC2","MARTR2",2010-08-31 15:34:00,"0.0",0,NA,NA,0,"not fishing due to forest fire"
"55","DAV10244.MC2","MARTR2",2010-09-01 09:43:00,"1.0",5,2.5,NA,7,"First day after trap was re-set, Started PIT vial CR23793"
"56","DAV10245.MC2","MARTR2",2010-09-02 09:33:00,"1.0",4,2.5,NA,5,NA
"57","DAV10246.MC2","MARTR2",2010-09-03 09:05:00,"1.0",4,2.5,NA,6,"PIT vial CR23792"
"58","DAV10247.MC2","MARTR2",2010-09-04 09:14:00,"1.0",4,2.5,NA,6.5,NA
"59","DAV10248.MC2","MARTR2",2010-09-05 09:07:00,"1.0",4,2.5,NA,7,NA
"60","DAV10249.MC2","MARTR2",2010-09-06 10:01:00,"1.0",4,2.5,NA,4.5,NA
"61","DAV10250.MC2","MARTR2",2010-09-07 09:59:00,"1.0",4,2.5,NA,5,NA
"62","DAV10251.MC2","MARTR2",2010-09-08 10:02:00,"1.0",4,2.5,NA,6,"PITvial CR23791"
"63","DAV10252.MC2","MARTR2",2010-09-09 09:54:00,"1.0",4,2.5,NA,7,"Scale not functioning, no weights taken. Moved trap R. right 2ft."
"64","DAV10253.MC2","MARTR2",2010-09-10 09:35:00,"1.0",6,2.5,NA,7,"PIT vial CR23790"
"65","DAV10254.MC2","MARTR2",2010-09-11 09:31:00,"1.0",5,2.4,NA,3,"Bumping bottom"
"66","DAV10255.MC2","MARTR2",2010-09-12 10:16:00,"1.0",6,2.4,NA,4,"Moved trap upstream 3ft to prevent bumping bottom. PIT vial CN67240"
"67","DAV10256.MC2","MARTR2",2010-09-13 09:03:00,"1.0",5,2.4,NA,4,NA
"68","DAV10257.MC2","MARTR2",2010-09-14 09:16:00,"1.0",5,2.4,NA,6,NA
"69","DAV10258.MC2","MARTR2",2010-09-15 10:10:00,"1.0",5,2.4,NA,6,"PIT vial CN67241"
"70","DAV10259.MC2","MARTR2",2010-09-16 10:02:00,"1.0",5,2.4,NA,5,NA
"71","DAV10260.MC2","MARTR2",2010-09-17 10:08:00,"1.0",5,2.4,NA,7,"PIT vial CN67242"
"72","DAV10261.MC2","MARTR2",2010-09-18 10:38:00,"1.0",5,2.4,NA,6.5,NA
"73","DAV10262.MC2","MARTR2",2010-09-19 08:44:00,"1.0",5,2.4,NA,4,NA
"74","DAV10263.MC2","MARTR2",2010-09-20 08:56:00,"1.0",5,2.4,NA,5.5,"PIT vial CN67243"
"75","DAV10264.MC2","MARTR2",2010-09-21 09:18:00,"1.0",5,2.4,NA,4,NA
"76","DAV10265.MC2","MARTR2",2010-09-22 09:08:00,"1.0",5,2.4,NA,4,NA
"77","DAV10266.MC2","MARTR2",2010-09-23 09:40:00,"1.0",4,2.4,NA,2.5,"PIT vial CN67244"
"78","DAV10267.MC2","MARTR2",2010-09-24 10:23:00,"1.0",4,2.4,NA,4,"Tire deflated, drum turns only occasionally"
"79","DAV10268.MC2","MARTR2",2010-09-25 10:36:00,"1.0",4,2.4,NA,4,"Replaced inner tube, drum turns. PIT vial CN67245"
"80","DAV10269.MC2","MARTR2",2010-09-26 10:35:00,"1.0",4,2.3,NA,5,"Installed sill depth ruler: height at 6in=2.3ft"
"81","DAV10270.MC2","MARTR2",2010-09-27 10:16:00,"1.0",4,6,NA,5,NA
"82","DAV10271.MC2","MARTR2",2010-09-28 10:05:00,"1.0",4,6,NA,4,"PIT vial CN67246"
"83","DAV10272.MC2","MARTR2",2010-09-29 10:18:00,"1.0",4,5.5,NA,4,NA
"84","DAV10273.MC2","MARTR2",2010-09-30 10:44:00,"1.0",4,5.5,NA,4,NA
"85","DAV10274.MC2","MARTR2",2010-10-01 09:18:00,"1.0",NA,NA,NA,3.5,NA
"86","DAV10275.MC2","MARTR2",2010-10-02 09:44:00,"1.0",4,5.5,NA,4,NA
"87","DAV10276.MC2","MARTR2",2010-10-03 09:11:00,"1.0",4,5.5,NA,4,"PIT vial CN67248"
"88","DAV10277.MC2","MARTR2",2010-10-04 09:35:00,"1.0",4,6,NA,7,NA
"89","DAV10278.MC2","MARTR2",2010-10-05 09:20:00,"1.0",4,6,NA,8,"PIT vial CN67219"
"90","DAV10279.MC2","MARTR2",2010-10-06 09:05:00,"1.0",5,6,NA,4.5,NA
"91","DAV10280.MC2","MARTR2",2010-10-07 10:29:00,"1.0",4,6,NA,5.5,NA
"92","DAV10281.MC2","MARTR2",2010-10-08 10:18:00,"1.0",4,6,NA,3.5,"PIT vial CR23784"
"93","DAV10282.MC2","MARTR2",2010-10-09 10:28:00,"1.0",4,6,NA,4,NA
"94","DAV10283.MC2","MARTR2",2010-10-10 11:20:00,"1.0",4,5.5,NA,7,NA
"95","DAV10284.MC2","MARTR2",2010-10-11 10:10:00,"1.0",4,6.5,NA,6,NA
"96","DAV10285.MC2","MARTR2",2010-10-12 10:22:00,"1.0",4,6,NA,2,NA
"97","DAV10286.MC2","MARTR2",2010-10-13 10:37:00,"1.0",4,5.5,NA,2,NA
"98","DAV10287.MC2","MARTR2",2010-10-14 10:47:00,"1.0",4,5.5,NA,2,"PIT vial CN67230"
"99","DAV10288.MC2","MARTR2",2010-10-15 10:25:00,"1.0",4,5.5,NA,4,NA
"100","DAV10289.MC2","MARTR2",2010-10-16 10:29:00,"1.0",4,5.5,NA,4,NA
"101","DAV10290.MC2","MARTR2",2010-10-17 09:48:00,"1.0",4,5.5,NA,4,NA
"102","DAV10291.MC2","MARTR2",2010-10-18 09:52:00,"1.0",4,5.5,NA,1,NA
"103","DAV10292.MC2","MARTR2",2010-10-19 09:36:00,"1.0",4,5.5,NA,1,NA
"104","DAV10293.MC2","MARTR2",2010-10-20 09:27:00,"1.0",3,5.5,NA,1,"PIT vial CN67233"
"105","DAV10294.MC2","MARTR2",2010-10-21 10:35:00,"1.0",3,5,NA,1,NA
"106","DAV10295.MC2","MARTR2",2010-10-22 10:27:00,"1.0",3,5,NA,2.5,NA
"107","DAV10296.MC2","MARTR2",2010-10-23 12:10:00,"1.0",3,4,NA,3,NA
"108","DAV10297.MC2","MARTR2",2010-10-24 12:18:00,"1.0",5,7,NA,1,NA
"109","DAV10298.MC2","MARTR2",2010-10-25 11:54:00,"1.0",5,8,NA,1,"PIT vial CN67235"
"110","DAV10299.MC2","MARTR2",2010-10-26 10:49:00,"1.0",5,7,NA,1,NA
"111","DAV10300.MC2","MARTR2",2010-10-27 10:27:00,"1.0",3,6,NA,0,"trap bumping bottom. MS222 bottle frozen; no anasthetic"
"112","DAV10301.MC2","MARTR2",2010-10-28 10:33:00,"1.0",4,6,NA,1,NA
"113","DAV10302.MC2","MARTR2",2010-10-29 09:16:00,"1.0",4,6,NA,1,"PIT vial CN67238"
"114","DAV10303.MC2","MARTR2",2010-10-30 09:26:00,"1.0",4,6,NA,1,NA
"115","DAV10304.MC2","MARTR2",2010-10-31 09:38:00,"1.0",4,6.5,NA,3,NA
"116","DAV10305.MC2","MARTR2",2010-11-01 09:55:00,"1.0",4,6.5,NA,2,NA
"117","DAV10306.MC2","MARTR2",2010-11-02 09:23:00,"1.0",4,6.5,NA,1.5,"tire flat"
"118","DAV10307.MC2","MARTR2",2010-11-03 09:41:00,"1.0",4,6.5,NA,1,"last day trapping"
"119","DAV11079.MC2","MARTR2",2011-03-20 15:28:00,"0.5",0,NA,NA,1,"Trap Frozen; CY11880"
"120","DAV11080.MC2","MARTR2",2011-03-21 12:08:00,"1.0",2,NA,NA,2,NA
"121","DAV11081.MC2","MARTR2",2011-03-22 13:27:00,"1.0",2,NA,NA,3,NA
"122","DAV11082.MC2","MARTR2",2011-03-23 12:29:00,"0.5",0,NA,NA,1,"Trap frozen"
"123","DAV11083.MC2","MARTR2",2011-03-24 11:01:00,"1.0",2,NA,NA,1,NA
"124","DAV11084.MC2","MARTR2",2011-03-25 10:23:00,"1.0",2,NA,NA,1,NA
"125","DAV11085.MC2","MARTR2",2011-03-26 11:22:00,"1.0",2,NA,NA,1,NA
"126","DAV11086.MC2","MARTR2",2011-03-27 14:22:00,"1.0",2,NA,NA,2,NA
"127","DAV11087.MC2","MARTR2",2011-03-28 14:10:00,"1.0",2,NA,NA,3,NA
"128","DAV11088.MC2","MARTR2",2011-03-29 16:31:00,"0.5",0,NA,NA,1,NA
"129","DAV11089.MC2","MARTR2",2011-03-30 11:06:00,"1.0",2,NA,NA,2,"No fish"
"130","DAV11090.MC2","MARTR2",2011-03-31 10:34:00,"1.0",2,NA,NA,3,NA
"131","DAV11091.MC2","MARTR2",2011-04-01 10:06:00,"1.0",2,NA,NA,3,NA
"132","DAV11092.MC2","MARTR2",2011-04-02 10:10:00,"1.0",3,NA,NA,3,NA
"133","DAV11093.MC2","MARTR2",2011-04-03 11:22:00,"0.5",0,NA,NA,1,"Trap frozen"
"134","DAV11094.MC2","MARTR2",2011-04-04 10:56:00,"0.5",0,NA,NA,1,"Trap frozen"
"135","DAV11095.MC2","MARTR2",2011-04-05 11:45:00,"0.5",0,NA,NA,1,"Cone full of slush."
"136","DAV11096.MC2","MARTR2",2011-04-06 10:46:00,"0.5",0,NA,NA,1,"Trap frozen"
"137","DAV11097.MC2","MARTR2",2011-04-07 11:18:00,"1.0",2,NA,NA,1,NA
"138","DAV11098.MC2","MARTR2",2011-04-08 09:13:00,"0.5",0,NA,NA,1,"Trap frozen"
"139","DAV11099.MC2","MARTR2",2011-04-09 15:14:00,"1.0",2,NA,NA,1.5,NA
"140","DAV11100.MC2","MARTR2",2011-04-10 17:07:00,"0.5",0,NA,NA,1,"trap frozen"
"141","DAV11101.MC2","MARTR2",2011-04-11 17:07:00,"1.0",2,NA,NA,1.5,NA
"142","DAV11102.MC2","MARTR2",2011-04-12 10:41:00,"1.0",2,NA,NA,1.5,NA
"143","DAV11103.MC2","MARTR2",2011-04-13 11:37:00,"0.5",0,NA,NA,0.5,"Trap frozen and cone full of slush."
"144","DAV11104.MC2","MARTR2",2011-04-14 11:30:00,"1.0",2,NA,NA,1,NA
"145","DAV11105.MC2","MARTR2",2011-04-15 10:20:00,"0.5",0,NA,NA,1,"Trap frozen"
"146","DAV11106.MC2","MARTR2",2011-04-16 12:09:00,"1.0",2,NA,NA,3,NA
"147","DAV11107.MC2","MARTR2",2011-04-17 11:19:00,"1.0",3,NA,NA,3,NA
"148","DAV11108.MC2","MARTR2",2011-04-18 10:29:00,"1.0",3,NA,NA,3,NA
"149","DAV11109.MC2","MARTR2",2011-04-19 10:34:00,"0.5",0,NA,NA,1,"Trap frozen"
"150","DAV11110.MC2","MARTR2",2011-04-20 11:01:00,"0.5",0,NA,NA,1,"Trap frozen"
"151","DAV11111.MC2","MARTR2",2011-04-21 09:45:00,"1.0",2,NA,NA,2,NA
"152","DAV11112.MC2","MARTR2",2011-04-22 12:20:00,"1.0",3,NA,NA,1.5,"Trap Frozen"
"153","DAV11113.MC2","MARTR2",2011-04-23 11:25:00,"1.0",3,NA,NA,2,"Sunny and cool"
"154","DAV11114.MC2","MARTR2",2011-04-24 13:14:00,"1.0",3,NA,NA,4,"Sunny"
"155","DAV11115.MC2","MARTR2",2011-04-25 14:15:00,"1.0",3,NA,NA,3,NA
"156","DAV11116.MC2","MARTR2",2011-04-26 10:00:00,"1.0",3,NA,NA,0.5,NA
"157","DAV11117.MC2","MARTR2",2011-04-27 11:20:00,"1.0",3,NA,NA,1.5,NA
"158","DAV11118.MC2","MARTR2",2011-04-28 10:58:00,"1.0",2,NA,NA,3,NA
"159","DAV11119.MC2","MARTR2",2011-04-29 11:50:00,"0.5",0,NA,NA,1,"Trap frozen!"
"160","DAV11120.MC2","MARTR2",2011-04-30 10:59:00,"1.0",2,NA,NA,2,NA
"161","DAV11121.MC2","MARTR2",2011-05-01 10:44:00,"1.0",2,NA,NA,2,"Changed bike tire."
"162","DAV11122.MC2","MARTR2",2011-05-02 10:13:00,"1.0",2,NA,NA,2,NA
"163","DAV11123.MC2","MARTR2",2011-05-03 10:06:00,"1.0",3,NA,NA,2,"CY11881"
"164","DAV11124.MC2","MARTR2",2011-05-04 10:18:00,"1.0",2,117,NA,1.5,"Repositioned trap downstream and closer to bank due to boaters."
"165","DAV11125.MC2","MARTR2",2011-05-05 10:21:00,"1.0",2,117,NA,2,NA
"166","DAV11126.MC2","MARTR2",2011-05-06 08:57:00,"1.0",3,116,NA,2,"Trap moved another 1 ft towards bank"
"167","DAV11127.MC2","MARTR2",2011-05-07 10:20:00,"1.0",4,112,NA,3,NA
"168","DAV11128.MC2","MARTR2",2011-05-08 11:33:00,"1.0",4,NA,NA,4,NA
"169","DAV11129.MC2","MARTR2",2011-05-09 10:40:00,"1.0",5,107,NA,3,NA
"170","DAV11130.MC2","MARTR2",2011-05-10 12:12:00,"1.0",5,107,NA,5,NA
"171","DAV11131.MC2","MARTR2",2011-05-11 11:26:00,"1.0",7,110,NA,4,"Moved trap approx. 5ft closer to bank; 3.5ft piece of log stuck in cone; removed sign from trap."
"172","DAV11132.MC2","MARTR2",2011-05-12 10:52:00,"1.0",7,106,NA,3,"Moved trap 1 ft closer to bank."
"173","DAV11133.MC2","MARTR2",2011-05-13 11:06:00,"1.0",6,105,NA,4,NA
"174","DAV11134.MC2","MARTR2",2011-05-14 12:07:00,"1.0",6,101,NA,5,"Moved trap 3 ft toward bank; moved safety line to a diff anchor tree uphill; small tree stuck on A Frame; boaters had no problem passing trap; CY11882"
"175","DAV11135.MC2","MARTR2",2011-05-15 11:15:00,"1.0",4,97,NA,3,NA
"176","DAV11136.MC2","MARTR2",2011-05-16 11:59:00,"0.5",0,93,NA,2,"Moved trap 2ft toward bank; part of root ball stuck in cone."
"177","DAV11137.MC2","MARTR2",2011-05-17 10:15:00,"0.5",0,97,NA,2.5,"4 ft section of log stuck in cone."
"178","DAV11138.MC2","MARTR2",2011-05-18 10:28:00,"1.0",2,99,NA,2.5,"Moved trap 2ft toward thalwag."
"179","DAV11139.MC2","MARTR2",2011-05-19 10:46:00,"1.0",4,101,NA,3,"Moved trap approx. 2ft toward thalwag."
"180","DAV11140.MC2","MARTR2",2011-05-20 09:18:00,"1.0",6,98,NA,2,"Moved trap approx. 1 ft toward bank."
"181","DAV11141.MC2","MARTR2",2011-05-21 10:58:00,"1.0",5,96,NA,6,NA
"182","DAV11142.MC2","MARTR2",2011-05-22 12:25:00,"0.5",0,93,NA,3,"2 logs in the trap, cleared"
"183","DAV11143.MC2","MARTR2",2011-05-23 09:47:00,"1.0",6,93,NA,3,NA
"184","DAV11144.MC2","MARTR2",2011-05-24 13:40:00,"1.0",7,90,NA,6,"Moved trap ~ 2 feet towards the bank"
"185","DAV11145.MC2","MARTR2",2011-05-25 11:47:00,"1.0",6,93,NA,5,"Moved trap approx. 1ft toward bank."
"186","DAV11146.MC2","MARTR2",2011-05-26 12:00:00,"0.5",0,86,NA,3,"Large branch stuck in cone; moved trap approx. 4ft toward bank."
"187","DAV11147.MC2","MARTR2",2011-05-27 09:34:00,"1.0",2,90,NA,2,"Moved trap approx. 1ft toward thalwag."
"188","DAV11148.MC2","MARTR2",2011-05-28 09:38:00,"1.0",2,92,NA,2.5,NA
"189","DAV11149.MC2","MARTR2",2011-05-29 11:09:00,"0.5",0,94,NA,2.5,"Water level dropped not enough flow for trap; moved trap approx. 4ft toward thalwag."
"190","DAV11150.MC2","MARTR2",2011-05-30 09:47:00,"1.0",3,97,NA,3.5,NA
"191","DAV11151.MC2","MARTR2",2011-05-31 09:46:00,"1.0",3,98,NA,3,NA
"192","DAV11152.MC2","MARTR2",2011-06-01 09:26:00,"1.0",4,98,NA,3.5,NA
"193","DAV11153.MC2","MARTR2",2011-06-02 09:20:00,"1.0",6,93,NA,2,NA
"194","DAV11154.MC2","MARTR2",2011-06-03 13:41:00,"1.0",3,96,NA,7,NA
"195","DAV11155.MC2","MARTR2",2011-06-04 10:54:00,"1.0",3,97,NA,4,NA
"196","DAV11156.MC2","MARTR2",2011-06-05 16:06:00,"1.0",4,95,NA,7,NA
"197","DAV11157.MC2","MARTR2",2011-06-06 16:16:00,"1.0",8,90,NA,7,"Moved the trap one foot closer to the near bank"
"198","DAV11158.MC2","MARTR2",2011-06-07 10:10:00,"1.0",10,82,NA,4,"Trap secured to near bank due to high water."
"199","DAV11159.MC2","MARTR2",2011-06-08 11:25:00,"1.0",7,81,NA,6,"Rafters had no problems with cable height; Trap parked due to high water."
"200","DAV11160.MC2","MARTR2",2011-06-09 10:30:00,"0.0",0,80,NA,4,"Trap parked due to high water."
"201","DAV11161.MC2","MARTR2",2011-06-10 09:30:00,"0.0",0,81,NA,3,"Trap parked due to high water."
"202","DAV11162.MC2","MARTR2",2011-06-11 09:40:00,"0.0",0,82,NA,4,"Trap parked due to high water."
"203","DAV11163.MC2","MARTR2",2011-06-12 09:10:00,"0.0",0,82,NA,4,"Trap parked due to high water."
"204","DAV11164.MC2","MARTR2",2011-06-13 08:30:00,"0.0",0,81,NA,4,"Trap parked due to high water; large section of log stuck between cone and pontoon."
"205","DAV11165.MC2","MARTR2",2011-06-14 10:15:00,"0.0",0,81,NA,4,"Trap parked due to high water."
"206","DAV11166.MC2","MARTR2",2011-06-15 08:30:00,"0.0",0,80,NA,3,"Trap parked due to high water."
"207","DAV11167.MC2","MARTR2",2011-06-16 09:00:00,"0.0",0,79,NA,3,"Trap parked due to high water."
"208","DAV11168.MC2","MARTR2",2011-06-17 08:45:00,"0.0",0,82,NA,3,"Trap parked due to high water."
"209","DAV11169.MC2","MARTR2",2011-06-18 10:45:00,"0.0",0,83,NA,4,"Trap parked due to high water."
"210","DAV11170.MC2","MARTR2",2011-06-19 10:30:00,"0.0",0,84,NA,5,"Lowered cone on trap."
"211","DAV11171.MC2","MARTR2",2011-06-20 09:09:00,"1.0",6,84,NA,4,"Trap fishing next to bank."
"212","DAV11172.MC2","MARTR2",2011-06-21 09:25:00,"1.0",6,82,NA,5,NA
"213","DAV11173.MC2","MARTR2",2011-06-22 08:52:00,"1.0",6,80,NA,5,NA
"214","DAV11174.MC2","MARTR2",2011-06-23 10:59:00,"1.0",7,77,NA,12,NA
"215","DAV11175.MC2","MARTR2",2011-06-24 11:00:00,"1.0",8,75,NA,7,NA
"216","DAV11176.MC2","MARTR2",2011-06-25 11:01:00,"1.0",8,78,NA,6,NA
"217","DAV11177.MC2","MARTR2",2011-06-26 12:06:00,"1.0",6,82,NA,6,NA
"218","DAV11178.MC2","MARTR2",2011-06-27 09:46:00,"1.0",10,83,NA,5,"Yesterday, moved the trap ~3ft out from the bank."
"219","DAV11179.MC2","MARTR2",2011-06-28 10:35:00,"1.0",8,84,NA,7,NA
"220","DAV11180.MC2","MARTR2",2011-06-29 11:02:00,"1.0",10,81,NA,8,"Moved trap approx. 1ft toward bank."
"221","DAV11181.MC2","MARTR2",2011-06-30 09:42:00,"1.0",9,81,NA,6,NA
"222","DAV11182.MC2","MARTR2",2011-07-01 08:37:00,"1.0",8,83,NA,5,NA
"223","DAV11183.MC2","MARTR2",2011-07-02 14:09:00,"1.0",6,86,NA,11,NA
"224","DAV11184.MC2","MARTR2",2011-07-03 11:30:00,"1.0",6,88,NA,9,NA
"225","DAV11185.MC2","MARTR2",2011-07-04 12:24:00,"1.0",6,87,NA,11,NA
"226","DAV11186.MC2","MARTR2",2011-07-05 12:11:00,"1.0",4,88,NA,10,NA
"227","DAV11187.MC2","MARTR2",2011-07-06 10:38:00,"1.0",5,89,NA,8.5,"Moved trap 5 ft from bank."
"228","DAV11188.MC2","MARTR2",2011-07-07 10:07:00,"1.0",6,91,NA,8,"Moved trap approx. 5ft toward thalwag; CY11883"
"229","DAV11189.MC2","MARTR2",2011-07-08 09:19:00,"1.0",9,93,NA,7,NA
"230","DAV11190.MC2","MARTR2",2011-07-09 08:52:00,"1.0",11,95,NA,5.5,"Trap fishing next to thalwag, approx. 15ft from bank."
"231","DAV11191.MC2","MARTR2",2011-07-10 08:55:00,"1.0",11,96,NA,6,"CY11884"
"232","DAV11192.MC2","MARTR2",2011-07-11 09:01:00,"1.0",10,97,NA,7,"Moved trap approx. 2ft; trap fishing in thalwag."
"233","DAV11193.MC2","MARTR2",2011-07-12 08:55:00,"1.0",11,98,NA,7.5,"CY11885"
"234","DAV11194.MC2","MARTR2",2011-07-13 09:00:00,"1.0",11,99,NA,8,"CY11886"
"235","DAV11195.MC2","MARTR2",2011-07-14 08:57:00,"1.0",11,99,NA,8,NA
"236","DAV11196.MC2","MARTR2",2011-07-15 09:09:00,"1.0",11,100,NA,8,"New vial #CY11889"
"237","DAV11197.MC2","MARTR2",2011-07-16 09:04:00,"1.0",10,102,NA,8,NA
"238","DAV11198.MC2","MARTR2",2011-07-17 08:56:00,"1.0",9,103,NA,8,NA
"239","DAV11199.MC2","MARTR2",2011-07-18 08:33:00,"1.0",8,104,NA,7,"New vial # CY11888"
"240","DAV11200.MC2","MARTR2",2011-07-19 08:30:00,"1.0",8,105,NA,7,NA
"241","DAV11201.MC2","MARTR2",2011-07-20 08:53:00,"1.0",8,105,NA,7,NA
"242","DAV11202.MC2","MARTR2",2011-07-21 09:02:00,"1.0",7,106,NA,7,"CY11887"
"243","DAV11203.MC2","MARTR2",2011-07-22 09:15:00,"1.0",7,107,NA,8,NA
"244","DAV11204.MC2","MARTR2",2011-07-23 09:14:00,"1.0",7,108,NA,7,"CY11490"
"245","DAV11205.MC2","MARTR2",2011-07-24 08:51:00,"1.0",7,108,NA,7,NA
"246","DAV11206.MC2","MARTR2",2011-07-25 08:58:00,"1.0",6,108,NA,8,"CY11491"
"247","DAV11207.MC2","MARTR2",2011-07-26 09:06:00,"1.0",6,109,NA,7,NA
"248","DAV11208.MC2","MARTR2",2011-07-27 08:47:00,"1.0",6,109,NA,7,NA
